iter	RMSE
0	5.981146553
1	5.831433914
2	5.677433922
3	5.522838888
4	5.381265375
5	5.245793212
6	5.132228694
7	5.014398189
8	4.898917161
9	4.788475696
10	4.675046073
11	4.580491782
12	4.485589983
13	4.391251776
14	4.297861186
15	4.217565696
16	4.132903709
17	4.05866431
18	3.994809927
19	3.939179523
20	3.867127085
21	3.807233197
22	3.745958007
23	3.695740388
24	3.64094066
25	3.589281513
26	3.538531771
27	3.495192169
28	3.446163097
29	3.408398455
30	3.366115677
31	3.330213137
32	3.293115856
33	3.258951251
34	3.229421025
35	3.197399051
36	3.169310745
37	3.145672363
38	3.119605092
39	3.091434566
40	3.061565742
41	3.037077776
42	3.012594378
43	2.993723956
44	2.972959899
45	2.960503972
46	2.938060133
47	2.920441937
48	2.897962878
49	2.882830956
50	2.862315203
51	2.839573756
52	2.822318969
53	2.810332747
54	2.794483383
55	2.777736652
56	2.764337256
57	2.750209375
58	2.732125234
59	2.720911325
60	2.703991416
61	2.692680203
62	2.680957218
63	2.669469512
64	2.657676524
65	2.640416385
66	2.628578068
67	2.618208054
68	2.606334688
69	2.594985254
70	2.585516572
71	2.575196442
72	2.566140028
73	2.557742838
74	2.551517916
75	2.542723905
76	2.53551909
77	2.526499904
78	2.518099538
79	2.512747204
80	2.502859935
81	2.497447661
82	2.488614577
83	2.483854578
84	2.479280448
85	2.471656077
86	2.462995511
87	2.455848457
88	2.452017007
89	2.44648103
90	2.439357426
91	2.434277929
92	2.427959097
93	2.420156441
94	2.415325159
95	2.408983076
96	2.404333155
97	2.402724961
98	2.398456668
99	2.39469317
100	2.38845954
101	2.383097264
102	2.378558249
103	2.374480167
104	2.371867357
105	2.365441681
106	2.359418528
107	2.353782533
108	2.350293559
109	2.344232081
110	2.338210847
111	2.335066377
112	2.330750282
113	2.325395984
114	2.320430932
115	2.317580167
116	2.314371811
117	2.308111472
118	2.303170132
119	2.300578124
120	2.292832206
121	2.286042651
122	2.281753339
123	2.278153232
124	2.275339495
125	2.272358945
126	2.266992826
127	2.262594769
128	2.259907224
129	2.258377151
130	2.250806199
131	2.247071902
132	2.242601504
133	2.238989586
134	2.234257231
135	2.228607335
136	2.222029877
137	2.217361438
138	2.213598187
139	2.209660646
140	2.203875621
141	2.201859213
142	2.196557943
143	2.192501241
144	2.189823201
145	2.187553496
146	2.183699585
147	2.177199139
148	2.174768274
149	2.170455876
150	2.166066735
151	2.161526327
152	2.159309536
153	2.154882097
154	2.150054726
155	2.146113403
156	2.143975953
157	2.141853235
158	2.138423946
159	2.136151298
160	2.133276722
161	2.129975522
162	2.128416898
163	2.124878594
164	2.119853923
165	2.117961848
166	2.11546882
167	2.113114144
168	2.109599355
169	2.108044179
170	2.104702124
171	2.101034571
172	2.098535194
173	2.096037993
174	2.094117686
175	2.090524024
176	2.088953092
177	2.086785351
178	2.083372063
179	2.08174509
180	2.080127103
181	2.077333252
182	2.073733122
183	2.07294079
184	2.070272386
185	2.067902565
186	2.065906397
187	2.062848027
188	2.059392845
189	2.056212579
190	2.054452045
191	2.051929812
192	2.049917364
193	2.046774053
194	2.044979865
195	2.043815464
196	2.040516396
197	2.038776889
198	2.037484891
199	2.034431157
