iter	Passed	Remaining
0	3	605
1	3	330
2	4	288
3	4	240
4	6	260
5	7	237
6	7	211
7	8	193
8	8	180
9	9	183
10	10	178
11	11	187
12	12	186
13	14	190
14	15	188
15	15	181
16	16	175
17	17	176
18	20	197
19	21	195
20	21	186
21	22	180
22	22	174
23	22	168
24	23	163
25	24	165
26	25	160
27	25	154
28	25	149
29	25	145
30	25	140
31	26	136
32	26	132
33	26	129
34	26	125
35	26	122
36	27	119
37	27	116
38	27	113
39	27	111
40	28	111
41	28	108
42	29	106
43	30	106
44	31	109
45	32	108
46	32	105
47	33	106
48	33	104
49	35	105
50	37	110
51	39	113
52	40	111
53	40	109
54	42	110
55	42	108
56	42	106
57	42	105
58	43	103
59	43	102
60	45	103
61	45	101
62	46	101
63	47	100
64	47	99
65	48	97
66	48	96
67	48	95
68	49	93
69	49	92
70	50	91
71	50	89
72	52	91
73	53	90
74	53	89
75	54	88
76	54	87
77	54	85
78	54	84
79	55	82
80	56	82
81	56	81
82	57	80
83	57	79
84	61	83
85	62	83
86	64	83
87	64	82
88	64	80
89	65	79
90	65	78
91	66	78
92	67	77
93	68	76
94	68	75
95	69	74
96	69	73
97	69	72
98	70	71
99	71	71
100	71	69
101	71	68
102	71	67
103	72	66
104	72	65
105	72	64
106	72	63
107	73	62
108	74	61
109	74	61
110	75	60
111	75	59
112	76	59
113	77	58
114	78	57
115	78	56
116	78	55
117	78	54
118	79	54
119	79	53
120	80	52
121	80	51
122	81	50
123	83	50
124	83	49
125	83	49
126	83	48
127	84	47
128	84	46
129	84	45
130	85	44
131	85	43
132	86	43
133	86	42
134	86	41
135	87	41
136	87	40
137	90	40
138	91	40
139	93	39
140	94	39
141	95	38
142	97	39
143	100	38
144	100	38
145	100	37
146	101	36
147	101	35
148	101	34
149	101	33
150	101	33
151	103	32
152	106	32
153	107	32
154	108	31
155	109	30
156	111	30
157	111	29
158	112	28
159	112	28
160	112	27
161	112	26
162	113	25
163	114	25
164	115	24
165	116	23
166	116	23
167	117	22
168	119	21
169	119	21
170	119	20
171	120	19
172	120	18
173	120	18
174	120	17
175	121	16
176	121	15
177	122	15
178	122	14
179	123	13
180	124	13
181	125	12
182	126	11
183	127	11
184	127	10
185	127	9
186	128	8
187	128	8
188	129	7
189	129	6
190	130	6
191	130	5
192	133	4
193	133	4
194	134	3
195	134	2
196	134	2
197	135	1
198	135	0
199	135	0
